year,state,age_group,gender,value,unit,note
2021,All India,40 to 44 years,Female,44442,value in Thousands,
2021,All India,40 to 44 years,Male,44459,value in Thousands,
2021,All India,40 to 44 years,Person,88901,value in Thousands,
2026,All India,40 to 44 years,Female,48564,value in Thousands,
2026,All India,40 to 44 years,Male,49147,value in Thousands,
2026,All India,40 to 44 years,Person,97711,value in Thousands,
2031,All India,40 to 44 years,Female,52388,value in Thousands,
2031,All India,40 to 44 years,Male,54930,value in Thousands,
2031,All India,40 to 44 years,Person,107318,value in Thousands,
2036,All India,40 to 44 years,Female,56164,value in Thousands,
2036,All India,40 to 44 years,Male,60642,value in Thousands,
2036,All India,40 to 44 years,Person,116806,value in Thousands,
2011,All India,45 to 49 years,Female,29727,value in Thousands,
2011,All India,45 to 49 years,Male,32038,value in Thousands,
2011,All India,45 to 49 years,Person,61765,value in Thousands,
2016,All India,45 to 49 years,Female,35191,value in Thousands,
2016,All India,45 to 49 years,Male,36643,value in Thousands,
2016,All India,45 to 49 years,Person,71834,value in Thousands,
2021,All India,45 to 49 years,Female,40031,value in Thousands,
2021,All India,45 to 49 years,Male,40217,value in Thousands,
2021,All India,45 to 49 years,Person,80248,value in Thousands,
2026,All India,45 to 49 years,Female,43917,value in Thousands,
2026,All India,45 to 49 years,Male,43378,value in Thousands,
2026,All India,45 to 49 years,Person,87295,value in Thousands,
2031,All India,45 to 49 years,Female,48068,value in Thousands,
2031,All India,45 to 49 years,Male,48064,value in Thousands,
2031,All India,45 to 49 years,Person,96132,value in Thousands,
2036,All India,45 to 49 years,Female,51916,value in Thousands,
2036,All India,45 to 49 years,Male,53889,value in Thousands,
2036,All India,45 to 49 years,Person,105805,value in Thousands,
2011,All India,50 to 54 years,Female,24168,value in Thousands,
2011,All India,50 to 54 years,Male,25919,value in Thousands,
2011,All India,50 to 54 years,Person,50086,value in Thousands,
2016,All India,50 to 54 years,Female,29088,value in Thousands,
2016,All India,50 to 54 years,Male,30773,value in Thousands,
2016,All India,50 to 54 years,Person,59861,value in Thousands,
2021,All India,50 to 54 years,Female,34452,value in Thousands,
2021,All India,50 to 54 years,Male,35253,value in Thousands,
2021,All India,50 to 54 years,Person,69705,value in Thousands,
2026,All India,50 to 54 years,Female,39282,value in Thousands,
2026,All India,50 to 54 years,Male,38806,value in Thousands,
2026,All India,50 to 54 years,Person,78088,value in Thousands,
2031,All India,50 to 54 years,Female,43181,value in Thousands,
2031,All India,50 to 54 years,Male,41975,value in Thousands,
2031,All India,50 to 54 years,Person,85156,value in Thousands,
2036,All India,50 to 54 years,Female,47338,value in Thousands,
2036,All India,50 to 54 years,Male,46672,value in Thousands,
2036,All India,50 to 54 years,Person,94010,value in Thousands,
2011,All India,55 to 59 years,Female,20466,value in Thousands,
2011,All India,55 to 59 years,Male,20944,value in Thousands,
2011,All India,55 to 59 years,Person,41410,value in Thousands,
2016,All India,55 to 59 years,Female,23356,value in Thousands,
2016,All India,55 to 59 years,Male,24428,value in Thousands,
2016,All India,55 to 59 years,Person,47784,value in Thousands,
2021,All India,55 to 59 years,Female,28156,value in Thousands,
2021,All India,55 to 59 years,Male,29096,value in Thousands,
2021,All India,55 to 59 years,Person,57252,value in Thousands,
2026,All India,55 to 59 years,Female,33453,value in Thousands,
2026,All India,55 to 59 years,Male,33468,value in Thousands,
2026,All India,55 to 59 years,Person,66921,value in Thousands,
2031,All India,55 to 59 years,Female,38244,value in Thousands,
2031,All India,55 to 59 years,Male,36977,value in Thousands,
2031,All India,55 to 59 years,Person,75222,value in Thousands,
2036,All India,55 to 59 years,Female,42135,value in Thousands,
2036,All India,55 to 59 years,Male,40167,value in Thousands,
2036,All India,55 to 59 years,Person,82302,value in Thousands,
2011,All India,60 to 64 years,Female,17845,value in Thousands,
2011,All India,60 to 64 years,Male,17518,value in Thousands,
2011,All India,60 to 64 years,Person,35363,value in Thousands,
2016,All India,60 to 64 years,Female,19324,value in Thousands,
2016,All India,60 to 64 years,Male,19154,value in Thousands,
2016,All India,60 to 64 years,Person,38478,value in Thousands,
2021,All India,60 to 64 years,Female,22139,value in Thousands,
2021,All India,60 to 64 years,Male,22480,value in Thousands,
2021,All India,60 to 64 years,Person,44619,value in Thousands,
2026,All India,60 to 64 years,Female,26821,value in Thousands,
2026,All India,60 to 64 years,Male,26936,value in Thousands,
2026,All India,60 to 64 years,Person,53756,value in Thousands,
2031,All India,60 to 64 years,Female,31997,value in Thousands,
2031,All India,60 to 64 years,Male,31154,value in Thousands,
2031,All India,60 to 64 years,Person,63151,value in Thousands,
2036,All India,60 to 64 years,Female,36713,value in Thousands,
2036,All India,60 to 64 years,Male,34615,value in Thousands,
2036,All India,60 to 64 years,Person,71328,value in Thousands,
2011,All India,65 to 69 years,Female,13935,value in Thousands,
2011,All India,65 to 69 years,Male,13612,value in Thousands,
2011,All India,65 to 69 years,Person,27548,value in Thousands,
2016,All India,65 to 69 years,Female,16149,value in Thousands,
2016,All India,65 to 69 years,Male,15214,value in Thousands,
2016,All India,65 to 69 years,Person,31363,value in Thousands,
2021,All India,65 to 69 years,Female,17637,value in Thousands,
2021,All India,65 to 69 years,Male,16833,value in Thousands,
2021,All India,65 to 69 years,Person,34470,value in Thousands,
2026,All India,65 to 69 years,Female,20377,value in Thousands,
2026,All India,65 to 69 years,Male,19942,value in Thousands,
2026,All India,65 to 69 years,Person,40319,value in Thousands,
2031,All India,65 to 69 years,Female,24855,value in Thousands,
2031,All India,65 to 69 years,Male,24103,value in Thousands,
2031,All India,65 to 69 years,Person,48959,value in Thousands,
2036,All India,65 to 69 years,Female,29839,value in Thousands,
2036,All India,65 to 69 years,Male,28103,value in Thousands,
2036,All India,65 to 69 years,Person,57941,value in Thousands,
2011,All India,70 to 74 years,Female,10882,value in Thousands,
2011,All India,70 to 74 years,Male,10546,value in Thousands,
2011,All India,70 to 74 years,Person,21428,value in Thousands,
2016,All India,70 to 74 years,Female,11849,value in Thousands,
2016,All India,70 to 74 years,Male,11012,value in Thousands,
2016,All India,70 to 74 years,Person,22861,value in Thousands,
2021,All India,70 to 74 years,Female,13951,value in Thousands,
2021,All India,70 to 74 years,Male,12551,value in Thousands,
2021,All India,70 to 74 years,Person,26501,value in Thousands,
2026,All India,70 to 74 years,Female,15446,value in Thousands,
2026,All India,70 to 74 years,Male,14080,value in Thousands,
2026,All India,70 to 74 years,Person,29526,value in Thousands,
2031,All India,70 to 74 years,Female,18042,value in Thousands,
2031,All India,70 to 74 years,Male,16893,value in Thousands,
2031,All India,70 to 74 years,Person,34935,value in Thousands,
2036,All India,70 to 74 years,Female,22229,value in Thousands,
2036,All India,70 to 74 years,Male,20642,value in Thousands,
2036,All India,70 to 74 years,Person,42871,value in Thousands,
2011,All India,75 to 79 years,Female,5277,value in Thousands,
2011,All India,75 to 79 years,Male,5471,value in Thousands,
2011,All India,75 to 79 years,Person,10748,value in Thousands,
2016,All India,75 to 79 years,Female,8429,value in Thousands,
2016,All India,75 to 79 years,Male,7718,value in Thousands,
2016,All India,75 to 79 years,Person,16147,value in Thousands,
2021,All India,75 to 79 years,Female,9422,value in Thousands,
2021,All India,75 to 79 years,Male,8274,value in Thousands,
2021,All India,75 to 79 years,Person,17696,value in Thousands,
2026,All India,75 to 79 years,Female,11325,value in Thousands,
2026,All India,75 to 79 years,Male,9595,value in Thousands,
2026,All India,75 to 79 years,Person,20920,value in Thousands,
2031,All India,75 to 79 years,Female,12740,value in Thousands,
2031,All India,75 to 79 years,Male,10932,value in Thousands,
2031,All India,75 to 79 years,Person,23672,value in Thousands,
2036,All India,75 to 79 years,Female,15099,value in Thousands,
2036,All India,75 to 79 years,Male,13285,value in Thousands,
2036,All India,75 to 79 years,Person,28383,value in Thousands,
2011,All India,80 years and above,Female,3518,value in Thousands,
2011,All India,80 years and above,Male,2946,value in Thousands,
2011,All India,80 years and above,Person,6464,value in Thousands,
